"","date","price","open","high","low","vol","change_percent"
"1",2023-07-06,296.63,295.95,298.08,292.73,"21.70M",0.77
"2",2023-07-05,294.37,287.65,298.12,286.36,"33.54M",2.92
"3",2023-07-03,286.02,286.65,289.31,284.85,"8.63M",-0.33
"4",2023-06-30,286.98,284.76,289.05,284.42,"19.69M",1.94
"5",2023-06-29,281.53,284.5,286.57,280.69,"15.40M",-1.32
"6",2023-06-28,285.29,284.82,289.55,284.06,"16.58M",-0.61
"7",2023-06-27,287.05,282.01,289.35,280.65,"25.81M",3.08
"8",2023-06-26,278.47,288.7,289.79,277.6,"23.95M",-3.55
"9",2023-06-23,288.73,281.51,289.67,278.95,"51.09M",1.35
"10",2023-06-22,284.88,279.08,285.26,277.79,"17.27M",1.15
"11",2023-06-21,281.64,283.53,284,278.36,"19.92M",-0.95
"12",2023-06-20,284.33,278.73,284.8,276.22,"20.53M",1.19
"13",2023-06-16,281,284.75,287.85,280.13,"43.13M",-0.29
"14",2023-06-15,281.83,272.3,283.99,271.42,"25.85M",3.1
"15",2023-06-14,273.35,271.89,274.99,268.32,"19.18M",0.75
"16",2023-06-13,271.32,274.88,275.72,269.09,"16.09M",0.1
"17",2023-06-12,271.05,267.17,271.75,265.33,"15.38M",2.3
"18",2023-06-09,264.95,262.48,267.95,261.7,"16.95M",0.14
"19",2023-06-08,264.58,260.62,267.65,258.88,"20.90M",0.37
"20",2023-06-07,263.6,271.67,274.25,262.8,"26.16M",-2.77
"21",2023-06-06,271.12,270.14,276.57,269.69,"19.26M",-0.1
"22",2023-06-05,271.39,270.3,275.57,269.56,"20.57M",-0.45
"23",2023-06-02,272.61,272.66,275.35,271.12,"19.35M",0
"24",2023-06-01,272.61,265.9,274,265.89,"25.28M",2.98
"25",2023-05-31,264.72,260,265,258.45,"25.37M",0.84
"26",2023-05-30,262.52,265.25,268.65,261.29,"23.69M",0.18
"27",2023-05-26,262.04,252.93,262.31,252.71,"25.77M",3.7
"28",2023-05-25,252.69,253.4,255.62,249.17,"21.99M",1.4
"29",2023-05-24,249.21,245.28,249.59,244.95,"17.32M",1
"30",2023-05-23,246.74,246.81,251.61,246.65,"17.67M",-0.64
"31",2023-05-22,248.32,245.41,253.57,245.12,"27.49M",1.09
"32",2023-05-19,245.64,247.47,248.69,243.41,"21.73M",-0.49
"33",2023-05-18,246.85,241.3,247.09,241.19,"22.81M",1.8
"34",2023-05-17,242.49,238.45,243.84,238.14,"21.14M",1.53
"35",2023-05-16,238.82,235.79,239.63,235.52,"18.11M",-0.02
"36",2023-05-15,238.86,236.92,240.26,235.33,"20.65M",2.16
"37",2023-05-12,233.81,236.74,236.96,231.45,"16.14M",-0.84
"38",2023-05-11,235.79,233.05,238.21,232.3,"20.38M",1.16
"39",2023-05-10,233.08,236.17,236.75,230.72,"18.70M",-0.12
"40",2023-05-09,233.37,231.46,235.88,231.08,"16.83M",0.04
"41",2023-05-08,233.27,231.41,235.62,230.27,"14.95M",0.21
"42",2023-05-05,232.78,232.24,234.68,229.85,"26.91M",-0.32
"43",2023-05-04,233.52,236.06,238.2,232.93,"17.79M",-1.48
"44",2023-05-03,237.03,239.47,241.75,232.75,"33.95M",-0.92
"45",2023-05-02,239.24,243.18,244.92,238.99,"23.17M",-1.62
"46",2023-05-01,243.18,238.62,244,236.46,"29.14M",1.19
"47",2023-04-28,240.32,239.01,240.43,235.75,"39.18M",0.74
"48",2023-04-27,238.56,239.89,241.68,236.77,"70.79M",13.93
"49",2023-04-26,209.4,212.5,214.11,208.88,"35.22M",0.89
"50",2023-04-25,207.55,210.82,211.26,207.13,"18.61M",-2.46
"51",2023-04-24,212.79,213.68,213.92,210.71,"15.75M",-0.05
"52",2023-04-21,212.89,210.21,213.41,209.58,"17.67M",-0.08
"53",2023-04-20,213.07,213.48,216.75,212.77,"16.43M",-1.22
"54",2023-04-19,215.7,213.47,217.33,212.93,"15.90M",-1.01
"55",2023-04-18,217.89,219.91,220.44,216.21,"12.21M",-0.44
"56",2023-04-17,218.86,219.79,220.98,217.13,"15.41M",-1.19
"57",2023-04-14,221.49,217.88,222.11,217.55,"21.59M",0.52
"58",2023-04-13,220.35,215.73,221.15,215.69,"23.23M",2.97
"59",2023-04-12,214,214.84,216.84,212.58,"18.97M",0.07
"60",2023-04-11,213.85,215.48,216.02,213.41,"16.35M",-0.42
"61",2023-04-10,214.75,214.71,215.66,210.66,"15.84M",-0.62
"62",2023-04-06,216.1,209.25,216.94,208.65,"26.10M",2.18
"63",2023-04-05,211.48,214.15,215.19,209.94,"19.33M",-1.51
"64",2023-04-04,214.72,213.39,216.24,212.54,"20.98M",0.77
"65",2023-04-03,213.07,208.84,213.49,208.2,"17.89M",0.53
"66",2023-03-31,211.94,207.24,212.17,206.77,"25.39M",1.97
"67",2023-03-30,207.84,203.38,208.09,202.82,"22.55M",1.21
"68",2023-03-29,205.35,203.56,205.72,202.54,"18.85M",2.33
"69",2023-03-28,200.68,200.15,201.03,197.9,"19.09M",-1.06
"70",2023-03-27,202.84,204.81,205.86,201.36,"18.45M",-1.54
"71",2023-03-24,206.01,205.18,207.58,203.55,"27.73M",0.85
"72",2023-03-23,204.28,202.84,207.88,202.15,"27.17M",2.24
"73",2023-03-22,199.81,202.5,207.37,199.67,"28.04M",-1.16
"74",2023-03-21,202.16,203.2,203.55,197.95,"31.48M",2.2
"75",2023-03-20,197.81,198.48,199.36,193.64,"25.14M",1.12
"76",2023-03-17,195.61,200.56,201.9,195.43,"50.14M",-4.55
"77",2023-03-16,204.93,198.26,205.76,196.09,"50.82M",3.63
"78",2023-03-15,197.75,192.95,197.78,190.84,"42.12M",1.92
"79",2023-03-14,194.02,187.58,194.32,186.56,"41.02M",7.25
"80",2023-03-13,180.9,177.96,183.78,174.82,"24.68M",0.77
"81",2023-03-10,179.51,181.01,184.77,178.8,"25.67M",-1.2
"82",2023-03-09,181.69,186.35,188.93,180.3,"26.51M",-1.77
"83",2023-03-08,184.97,182.87,185.26,181.34,"19.43M",0.25
"84",2023-03-07,184.51,189,190.36,184.01,"36.70M",-0.21
"85",2023-03-06,184.9,188,189.66,184.64,"33.21M",-0.19
"86",2023-03-03,185.25,178.92,186.62,177.05,"43.85M",6.14
"87",2023-03-02,174.53,172.38,175.01,171.43,"17.33M",0.64
"88",2023-03-01,173.42,174.59,177.85,173.05,"29.18M",-0.87
"89",2023-02-28,174.94,171.9,177.55,171.87,"46.05M",3.19
"90",2023-02-27,169.54,171.88,173.12,169.06,"19.28M",-0.5
"91",2023-02-24,170.39,168.64,170.72,167.66,"19.79M",-0.96
"92",2023-02-23,172.04,172,173.69,169.38,"20.02M",0.54
"93",2023-02-22,171.12,171.07,172.76,169.69,"20.57M",-0.56
"94",2023-02-21,172.08,174.31,178.17,171.88,"32.72M",-0.46
"95",2023-02-17,172.88,170.22,173.18,169.7,"24.17M",0.26
"96",2023-02-16,172.44,172.75,175.85,171.79,"25.71M",-2.66
"97",2023-02-15,177.16,176.41,178.19,175.33,"24.92M",-1.29
"98",2023-02-14,179.48,177.16,181.51,175.88,"23.97M",0.03
"99",2023-02-13,179.43,178.21,181,175.82,"31.41M",3.03
"100",2023-02-10,174.15,176.35,178.89,173.35,"33.43M",-2.12
"101",2023-02-09,177.92,186.13,186.65,177.27,"36.92M",-3
"102",2023-02-08,183.43,190,190.83,182.92,"35.96M",-4.27
"103",2023-02-07,191.62,185.57,193.78,184.4,"45.70M",2.99
"104",2023-02-06,186.06,186.53,190.7,185.52,"42.48M",-0.25
"105",2023-02-03,186.53,183.46,196.77,182.89,"76.81M",-1.19
"106",2023-02-02,188.77,183.38,197.16,180.16,"150.48M",23.28
"107",2023-02-01,153.12,148.03,153.58,147.06,"47.55M",2.79
"108",2023-01-31,148.97,147.95,149.88,147.52,"29.27M",1.3
"109",2023-01-30,147.06,149.4,151.12,146.95,"28.04M",-3.08
"110",2023-01-27,151.74,148.24,153.19,147.39,"35.77M",3.01
"111",2023-01-26,147.3,144.4,147.51,143.3,"25.37M",4.1
"112",2023-01-25,141.5,141.22,143.17,140.31,"26.62M",-1.15
"113",2023-01-24,143.14,141.69,145,141.36,"21.74M",-0.09
"114",2023-01-23,143.27,139.29,143.76,138.66,"26.90M",2.8
"115",2023-01-20,139.37,135.89,139.94,134.61,"28.69M",2.37
"116",2023-01-19,136.15,132.49,137.45,132.14,"28.46M",2.35
"117",2023-01-18,133.02,135.81,137.25,132.8,"20.15M",-1.73
"118",2023-01-17,135.36,136.18,136.75,134.25,"21.09M",-1.18
"119",2023-01-13,136.98,134.97,137.39,134.84,"22.42M",0.2
"120",2023-01-12,136.71,133.44,137.68,131.76,"30.70M",2.87
"121",2023-01-11,132.89,130.96,133.85,130.34,"25.37M",-0.08
"122",2023-01-10,132.99,127.27,133.44,127.15,"28.07M",2.72
"123",2023-01-09,129.47,131.16,132.95,129.28,"26.47M",-0.42
"124",2023-01-06,130.02,128.97,130.33,126.04,"27.58M",2.43
"125",2023-01-05,126.94,126.13,128.52,124.54,"25.45M",-0.34
"126",2023-01-04,127.37,127.38,129.05,125.85,"32.23M",2.11
"127",2023-01-03,124.74,122.82,126.37,122.28,"35.38M",3.66
"128",2022-12-30,120.34,118.16,120.42,117.74,"19.58M",0.07
"129",2022-12-29,120.26,116.4,121.03,115.77,"22.30M",4.01
"130",2022-12-28,115.62,116.25,118.15,115.51,"19.55M",-1.08
"131",2022-12-27,116.88,117.93,118.6,116.05,"20.86M",-0.98
"132",2022-12-23,118.04,116.03,118.18,115.54,"17.76M",0.79
"133",2022-12-22,117.12,117.2,118.62,114.38,"23.00M",-2.2
"134",2022-12-21,119.76,116.7,120.34,115.62,"20.36M",2.28
"135",2022-12-20,117.09,113.26,117.33,112.46,"28.66M",2.28
"136",2022-12-19,114.48,116.83,117.8,114.33,"29.46M",-4.14
"137",2022-12-16,119.43,120.23,123.31,118.82,"67.06M",2.82
"138",2022-12-15,116.15,118.33,118.63,114.01,"34.47M",-4.47
"139",2022-12-14,121.59,119.39,124.14,119.39,"36.66M",1.2
"140",2022-12-13,120.15,122.13,123.3,118.64,"44.27M",4.74
"141",2022-12-12,114.71,115.18,115.72,113.14,"23.38M",-1.03
"142",2022-12-09,115.9,115.3,117.54,113.87,"26.03M",0.49
"143",2022-12-08,115.33,116.39,117.34,114.59,"29.51M",1.23
"144",2022-12-07,113.93,113.76,115.88,112.88,"28.58M",-0.17
"145",2022-12-06,114.12,119.91,120.55,113.74,"43.69M",-6.79
"146",2022-12-05,122.43,121.75,124.67,121.35,"35.40M",-0.86
"147",2022-12-02,123.49,117.83,124.04,117.61,"39.95M",2.53
"148",2022-12-01,120.44,119.2,121.2,118.4,"36.49M",1.98
"149",2022-11-30,118.1,109.5,118.16,109.38,"43.15M",7.89
"150",2022-11-29,109.46,109.54,110.94,108.54,"23.90M",0.63
"151",2022-11-28,108.78,110.78,112.04,108.38,"23.30M",-2.36
"152",2022-11-25,111.41,111.3,112.73,111.02,"12.01M",-0.74
"153",2022-11-23,112.24,111.72,112.67,110.73,"21.34M",0.72
"154",2022-11-22,111.44,109.86,111.62,108.32,"29.03M",1.44
"155",2022-11-21,109.86,111.52,112.37,109.19,"24.35M",-1.95
"156",2022-11-18,112.05,113.8,114.32,110.62,"33.36M",0.54
"157",2022-11-17,111.45,110.41,112.33,109.8,"35.09M",-1.57
"158",2022-11-16,113.23,114.5,116.07,112.66,"32.44M",-3.29
"159",2022-11-15,117.08,116.07,118.74,114.41,"50.55M",2.5
"160",2022-11-14,114.22,110.99,116.27,110.8,"53.15M",1.06
"161",2022-11-11,113.02,109.23,114.9,108.81,"59.04M",1.03
"162",2022-11-10,111.87,107.12,112.75,104.61,"80.67M",10.25
"163",2022-11-09,101.47,101.72,104.9,100.74,"107.68M",5.18
"164",2022-11-08,96.47,95.92,97.8,94.79,"51.44M",-0.26
"165",2022-11-07,96.72,94.78,96.88,93.1,"81.99M",6.53
"166",2022-11-04,90.79,90.35,91.39,88.09,"55.64M",2.11
"167",2022-11-03,88.91,90.08,90.46,88.41,"59.77M",-1.8
"168",2022-11-02,90.54,94.21,95.2,90.48,"71.18M",-4.89
"169",2022-11-01,95.2,94.33,97.49,93.55,"109.62M",2.19
"170",2022-10-31,93.16,98.22,99.32,92.6,"120.76M",-6.09
"171",2022-10-28,99.2,99.58,100.85,97.51,"94.78M",1.29
"172",2022-10-27,97.94,97.97,102.5,96.38,"230.41M",-24.56
"173",2022-10-26,129.82,131.68,135.55,128.53,"89.29M",-5.59
"174",2022-10-25,137.51,130.88,138.35,130.59,"37.73M",6.01
"175",2022-10-24,129.72,127.25,133.48,124.57,"63.43M",-0.22
"176",2022-10-21,130.01,126.31,130.12,125.44,"46.15M",-1.16
"177",2022-10-20,131.53,132.93,136.77,131.31,"26.36M",-1.28
"178",2022-10-19,133.23,132.89,137,132.22,"30.69M",0.32
"179",2022-10-18,132.8,137.09,137.84,131.4,"25.28M",-0.93
"180",2022-10-17,134.04,130.3,134.79,130.18,"29.46M",5.74
"181",2022-10-14,126.76,131,131.79,126.52,"23.56M",-2.71
"182",2022-10-13,130.29,123.53,131.14,122.53,"34.33M",2.19
"183",2022-10-12,127.5,128.32,129.67,126.25,"34.61M",-0.81
"184",2022-10-11,128.54,131.62,132.66,126.99,"37.65M",-3.92
"185",2022-10-10,133.79,133.55,136.11,131.87,"23.84M",0.25
"186",2022-10-07,133.45,136.76,138.29,132.44,"33.21M",-4.04
"187",2022-10-06,139.07,137.71,141.45,136.6,"36.23M",0.06
"188",2022-10-05,138.98,138.24,140.21,134.78,"27.90M",-0.93
"189",2022-10-04,140.28,140.49,142.39,139.34,"34.54M",1.2
"190",2022-10-03,138.61,137.14,139.62,136.1,"27.72M",2.16
"191",2022-09-30,135.68,136.05,140.99,135.5,"33.17M",-0.54
"192",2022-09-29,136.41,139.36,139.84,135.2,"38.99M",-3.67
"193",2022-09-28,141.61,134.62,142.03,134.27,"32.66M",5.36
"194",2022-09-27,134.4,137.92,139.42,134.12,"30.55M",-1.44
"195",2022-09-26,136.37,140.12,142.24,136.19,"30.50M",-2.88
"196",2022-09-23,140.41,141.42,142.62,138.89,"31.71M",-1.69
"197",2022-09-22,142.82,141.55,144.58,140.87,"34.42M",0.49
"198",2022-09-21,142.12,146.39,149.6,142,"38.01M",-2.72
"199",2022-09-20,146.09,145.77,148.84,145.22,"23.13M",-1.3
"200",2022-09-19,148.02,145.24,148.58,145.1,"22.17M",1.18
"201",2022-09-16,146.29,148.05,148.58,144.29,"39.98M",-2.18
"202",2022-09-15,149.55,149.8,154.2,148.7,"34.39M",-1.27
"203",2022-09-14,151.47,153.33,153.54,149.05,"42.82M",-1.08
"204",2022-09-13,153.13,161.54,161.63,152.67,"44.23M",-9.37
"205",2022-09-12,168.96,167.39,171.39,167.28,"23.22M",-0.11
"206",2022-09-09,169.15,163.25,169.54,163.02,"22.07M",4.37
"207",2022-09-08,162.06,158.71,162.23,157.74,"22.26M",1.04
"208",2022-09-07,160.39,157.76,160.96,156.81,"16.78M",1.17
"209",2022-09-06,158.54,160.1,161.69,157.69,"19.28M",-1.11
"210",2022-09-02,160.32,167.45,167.93,159.22,"22.63M",-3.05
"211",2022-09-01,165.36,163.58,167.36,160.35,"30.15M",1.49
"212",2022-08-31,162.93,167.07,167.84,162.14,"40.75M",3.67
"213",2022-08-30,157.16,160.35,161.66,155.91,"19.42M",-1.26
"214",2022-08-29,159.17,160.65,163.05,159.01,"20.05M",-1.61
"215",2022-08-26,161.78,168.48,170.92,161.67,"24.02M",-4.15
"216",2022-08-25,168.78,165.18,168.88,164.02,"15.46M",3.38
"217",2022-08-24,163.26,160.6,165.46,159.77,"20.80M",1.33
"218",2022-08-23,161.11,162.48,165.05,160.7,"18.11M",-1.19
"219",2022-08-22,163.05,165.49,165.49,162.26,"19.50M",-2.92
"220",2022-08-19,167.96,170.2,172.32,167.05,"26.24M",-3.84
"221",2022-08-18,174.66,174.34,175.76,171.86,"18.76M",-0.11
"222",2022-08-17,174.85,176.76,178.14,174.17,"20.12M",-2.57
"223",2022-08-16,179.47,179.44,180.99,177.04,"21.16M",-0.79
"224",2022-08-15,180.89,178.96,181.44,178.2,"15.88M",0.22
"225",2022-08-12,180.5,180.81,181.46,178.91,"21.16M",1.7
"226",2022-08-11,177.49,179.71,183.1,176.37,"23.99M",-0.48
"227",2022-08-10,178.34,175.99,180.48,173.95,"30.08M",5.82
"228",2022-08-09,168.53,168.95,169.53,166.6,"18.66M",-1.01
"229",2022-08-08,170.25,168,177.51,167.13,"27.22M",1.88
"230",2022-08-05,167.11,166.99,171.61,165.8,"25.77M",-2.03
"231",2022-08-04,170.57,168.29,172.15,166.8,"23.79M",1.05
"232",2022-08-03,168.8,162.69,169.54,161.57,"31.72M",5.37
"233",2022-08-02,160.19,158.31,162.24,158.01,"27.37M",0.16
"234",2022-08-01,159.93,157.25,165.19,155.23,"40.60M",0.52
"235",2022-07-29,159.1,157.69,160.14,155.17,"41.91M",-1.01
"236",2022-07-28,160.72,161.06,161.51,154.85,"72.59M",-5.22
"237",2022-07-27,169.58,162.59,170.87,162.02,"39.18M",6.55
"238",2022-07-26,159.15,165.94,166,157.95,"26.57M",-4.5
"239",2022-07-25,166.65,169,170.57,164.8,"26.17M",-1.55
"240",2022-07-22,169.27,173.07,175.6,168.41,"41.93M",-7.59
"241",2022-07-21,183.17,180.63,183.85,178.87,"26.09M",0.04
"242",2022-07-20,183.09,177.49,183.6,176.7,"24.52M",4.16
"243",2022-07-19,175.78,170.37,176.49,169.51,"25.76M",5.11
"244",2022-07-18,167.23,166.75,171.68,165.64,"23.57M",1.54
"245",2022-07-15,164.7,160.54,164.98,159.82,"22.49M",4.21
"246",2022-07-14,158.05,161.22,162.59,157.28,"23.52M",-3.33
"247",2022-07-13,163.49,160.16,164.98,159.61,"16.51M",0.13
"248",2022-07-12,163.27,164.8,165.91,162.1,"16.58M",0.24
"249",2022-07-11,162.88,167.07,167.49,161.91,"21.91M",-4.68
"250",2022-07-08,170.88,169.98,172.4,168.15,"19.16M",-0.76
"251",2022-07-07,172.19,169.45,172.72,167.78,"23.89M",1.43
"252",2022-07-06,169.77,168.2,171.59,165.46,"23.04M",0.94
"253",2022-07-05,168.19,158.14,168.25,157.02,"28.55M",5.1
"254",2022-07-01,160.03,160.31,160.62,155,"31.42M",-0.76
"255",2022-06-30,161.25,162.15,165.23,158.49,"34.98M",-1.64
"256",2022-06-29,163.94,163.57,166.33,160.32,"28.53M",2.03
"257",2022-06-28,160.68,169.9,171.3,160.61,"27.67M",-5.2
"258",2022-06-27,169.49,171.32,171.75,168.01,"29.17M",-0.39
"259",2022-06-24,170.16,161.73,170.25,161.3,"61.35M",7.19
"260",2022-06-23,158.75,156.27,159.75,154.25,"40.34M",1.86
"261",2022-06-22,155.85,158.38,160.79,155.44,"47.06M",-0.76
"262",2022-06-21,157.05,165.93,167.76,155.97,"50.48M",-4.09
"263",2022-06-17,163.74,161.68,165.9,159.9,"31.37M",1.78
"264",2022-06-16,160.87,163.72,165.08,159.61,"26.63M",-5.01
"265",2022-06-15,169.35,167.2,172.16,163.98,"29.81M",3.43
"266",2022-06-14,163.73,166.03,166.75,161.36,"26.77M",-0.32
"267",2022-06-13,164.26,170.59,172.57,164.03,"31.56M",-6.44
"268",2022-06-10,175.57,183.04,183.1,175.02,"25.51M",-4.58
"269",2022-06-09,184,194.28,199.45,183.68,"23.30M",-6.43
"270",2022-06-08,196.64,194.67,202.03,194.41,"22.27M",0.51
"271",2022-06-07,195.65,191.93,196.53,191.49,"18.76M",0.72
"272",2022-06-06,194.25,193.99,196.92,188.4,"30.57M",1.82
"273",2022-06-03,190.78,195.98,196.61,189.78,"19.46M",-4.06
"274",2022-06-02,198.86,188.45,200.93,187.73,"31.49M",5.42
"275",2022-06-01,188.64,196.51,199.53,185,"36.27M",-2.58
"276",2022-05-31,193.64,194.88,197.6,192.01,"25.92M",-0.76
"277",2022-05-27,195.13,191.36,195.33,189.8,"22.56M",1.83
"278",2022-05-26,191.63,182.88,192.83,182.26,"23.06M",4.24
"279",2022-05-25,183.83,180.4,185.45,179.32,"27.56M",1.41
"280",2022-05-24,181.28,180.55,183.68,176.11,"50.24M",-7.62
"281",2022-05-23,196.23,195.19,196.99,191.24,"22.76M",1.39
"282",2022-05-20,193.54,194.97,197.91,187.87,"31.47M",1.18
"283",2022-05-19,191.29,191.2,195.29,189.6,"24.45M",-0.49
"284",2022-05-18,192.24,200,201,191.63,"23.81M",-5.12
"285",2022-05-17,202.62,202.12,205.46,198.36,"24.87M",1.29
"286",2022-05-16,200.04,197.05,205.37,195.93,"27.11M",0.71
"287",2022-05-13,198.62,192.58,199.89,191.28,"24.55M",3.86
"288",2022-05-12,191.24,187.06,198.05,184.78,"38.26M",1.32
"289",2022-05-11,188.74,196.32,200.67,188.27,"31.15M",-4.51
"290",2022-05-10,197.65,199.51,202.96,194.19,"34.45M",0.73
"291",2022-05-09,196.21,199.84,202.57,195.58,"36.30M",-3.71
"292",2022-05-06,203.77,207.34,209.38,201.02,"34.75M",-2.17
"293",2022-05-05,208.28,218.74,220.17,206.16,"41.13M",-6.77
